[2025-05-16 03:41:11] user: User.User@531dcf1 | command: use db2;
[2025-05-16 04:29:55] user: User.User@29984b20 | command: drop database test;

[2025-05-16 04:30:00] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:30:00] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:30:14] user: User.User@29984b20 | command: create database test;

[2025-05-16 04:30:14] user: User.User@29984b20 | command: create database test;

[2025-05-16 04:30:16] user: User.User@29984b20 | command: create database www;

[2025-05-16 04:30:16] user: User.User@29984b20 | command: create database www;

[2025-05-16 04:30:18] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:30:18] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:30:22] user: User.User@29984b20 | command: drop database www;

[2025-05-16 04:30:22] user: User.User@29984b20 | command: drop database www;

[2025-05-16 04:30:25] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:30:25] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:30:28] user: User.User@29984b20 | command: use test;

[2025-05-16 04:30:28] user: User.User@29984b20 | command: use test;

[2025-05-16 04:30:35] user: User.User@29984b20 | command: create table student (sno string primary key, sname string not null, age int);

[2025-05-16 04:30:38] user: User.User@29984b20 | command: desc student;

[2025-05-16 04:31:44] user: User.User@29984b20 | command: use test;

[2025-05-16 04:31:44] user: User.User@29984b20 | command: use test;

[2025-05-16 04:31:48] user: User.User@29984b20 | command: desc student;

[2025-05-16 04:31:59] user: User.User@29984b20 | command: create table student (sno string primary key, sname string not null, age int);

[2025-05-16 04:36:26] user: User.User@73f22ed0 | command: use db2;

[2025-05-16 04:36:26] user: User.User@73f22ed0 | command: use db2;

[2025-05-16 04:36:35] user: User.User@73f22ed0 | command: show tables;

[2025-05-16 04:36:52] user: User.User@73f22ed0 | command: desc sc;

[2025-05-16 04:37:12] user: User.User@73f22ed0 | command: create table www (hh string primary key,hehe int);

[2025-05-16 04:37:29] user: User.User@73f22ed0 | command: desc www;

[2025-05-16 04:38:02] user: User.User@73f22ed0 | command: desc student;

[2025-05-16 04:38:12] user: User.User@73f22ed0 | command: insert into student (sno, sname, age) values ('666','wx',20);

[2025-05-16 04:38:20] user: User.User@73f22ed0 | command: select * from student;

[2025-05-16 04:38:38] user: User.User@73f22ed0 | command: insert into student (sno, sname, age) values ('666','jyt',20);

[2025-05-16 04:38:54] user: User.User@73f22ed0 | command: insert into student (sno, sname, age) values ('888','jyt',20);

[2025-05-16 04:39:02] user: User.User@73f22ed0 | command: select * from student;

[2025-05-16 04:39:07] user: User.User@73f22ed0 | command: select sno from student;

[2025-05-16 04:39:10] user: User.User@73f22ed0 | command: select sno,sname from student;

[2025-05-16 04:39:29] user: User.User@73f22ed0 | command: select * from student where sno = '666';

[2025-05-16 04:39:36] user: User.User@73f22ed0 | command: alter table student add column dorm int;

[2025-05-16 04:39:53] user: User.User@73f22ed0 | command: desc student;

[2025-05-16 04:40:01] user: User.User@73f22ed0 | command: alter table student drop column dorm;

[2025-05-16 04:40:04] user: User.User@73f22ed0 | command: desc student;

[2025-05-16 04:40:09] user: User.User@73f22ed0 | command: alter table student add column dorm int;

[2025-05-16 04:40:15] user: User.User@73f22ed0 | command: desc student;

[2025-05-16 04:40:18] user: User.User@73f22ed0 | command: alter table student modify column dorm Long;

[2025-05-16 04:40:20] user: User.User@73f22ed0 | command: desc student;

[2025-05-16 04:40:30] user: User.User@73f22ed0 | command: select * from student;

[2025-05-16 04:40:51] user: User.User@73f22ed0 | command: update sc set sname='hal' where sno ='888';

[2025-05-16 04:42:31] user: User.User@73f22ed0 | command: desc student;

[2025-05-16 04:42:41] user: User.User@73f22ed0 | command: select * from student;

[2025-05-16 04:43:03] user: User.User@73f22ed0 | command: update student set sname='hal' where sno ='888';

[2025-05-16 04:43:08] user: User.User@73f22ed0 | command: update student set sname='hal' where sno ='888';

[2025-05-16 04:43:15] user: User.User@73f22ed0 | command: update student set sname='hal' where sno ='888';

[2025-05-16 04:43:16] user: User.User@73f22ed0 | command: update student set sname='hal' where sno ='888';

[2025-05-16 04:43:25] user: User.User@73f22ed0 | command: update student set sname='hal' where sno ='888';

[2025-05-16 04:43:39] user: User.User@73f22ed0 | command: select * from student;

[2025-05-16 04:49:36] user: User.User@73f22ed0 | command: insert into student (sno, sname, age) values ('666','wx',20);

[2025-05-16 04:53:04] user: User.User@7280b3be | command: show databases;

[2025-05-16 04:53:04] user: User.User@7280b3be | command: show databases;

[2025-05-16 04:53:07] user: User.User@7280b3be | command: use test;

[2025-05-16 04:53:07] user: User.User@7280b3be | command: use test;

[2025-05-16 04:53:24] user: User.User@7280b3be | command: desc student;

[2025-05-16 04:54:20] user: User.User@7280b3be | command: create table student (sno string primary key, sname string not null, age int);

[2025-05-16 04:54:26] user: User.User@7280b3be | command: desc student;

[2025-05-16 04:54:37] user: User.User@7280b3be | command: create table student (sno string primary key, sname string not null, age int);

[2025-05-16 04:54:57] user: User.User@1ee5e52c | command: use test;

[2025-05-16 04:54:57] user: User.User@1ee5e52c | command: use test;

[2025-05-16 04:55:01] user: User.User@1ee5e52c | command: desc student;

[2025-05-16 04:55:21] user: User.User@1ee5e52c | command: desc sc;

[2025-05-16 04:55:37] user: User.User@1ee5e52c | command: show tables;

[2025-05-16 04:55:41] user: User.User@1ee5e52c | command: create table sc (sno string primary key,cno string,grade int);

[2025-05-16 04:55:45] user: User.User@1ee5e52c | command: show tables;

[2025-05-16 04:55:49] user: User.User@1ee5e52c | command: desc sc;

[2025-05-16 04:56:10] user: User.User@1ee5e52c | command: select * from student;

[2025-05-16 04:56:15] user: User.User@1ee5e52c | command: insert into student (sno, sname, age) values ('666','wx',20);

[2025-05-16 04:56:21] user: User.User@1ee5e52c | command: select * from student;

[2025-05-16 04:56:33] user: User.User@1ee5e52c | command: insert into student (sno, sname, age) values ('888','jyt',20);

[2025-05-16 04:56:41] user: User.User@1ee5e52c | command: select * from student;

[2025-05-16 04:56:46] user: User.User@1ee5e52c | command: update student set sname='hal' where sno ='999';

[2025-05-16 04:57:03] user: User.User@1ee5e52c | command: update student set sname='hal' where sno ='999';

[2025-05-16 04:57:19] user: User.User@1ee5e52c | command: select * from student;

[2025-05-16 04:57:43] user: User.User@1ee5e52c | command: update student set sname='hal' where sno ='999';

[2025-05-16 04:57:59] user: User.User@1ee5e52c | command: update student set sname='hal' where sno ='888';

[2025-05-16 04:58:10] user: User.User@1ee5e52c | command: select * from student;

[2025-05-16 05:01:21] user: User.User@531dcf1 | command: use test;

[2025-05-16 05:01:21] user: User.User@531dcf1 | command: use test;

[2025-05-16 05:01:25] user: User.User@531dcf1 | command: select * from student;

[2025-05-16 05:01:39] user: User.User@531dcf1 | command: update student set sname='hal' where sno ='888';

[2025-05-16 05:02:15] user: User.User@2e53b2ca | command: use test;

[2025-05-16 05:02:15] user: User.User@2e53b2ca | command: use test;

[2025-05-16 05:02:19] user: User.User@2e53b2ca | command: select * from student;

[2025-05-16 05:02:41] user: User.User@2e53b2ca | command: update student set sname='123' where sno ='888';

[2025-05-16 05:02:47] user: User.User@2e53b2ca | command: update student set sname='123' where sno ='888';

[2025-05-16 05:03:13] user: User.User@2e53b2ca | command: select * from student;

[2025-05-16 05:04:34] user: User.User@704e0d9e | command: use test;

[2025-05-16 05:04:34] user: User.User@704e0d9e | command: use test;

[2025-05-16 05:04:37] user: User.User@704e0d9e | command: select * from student;

[2025-05-16 05:04:55] user: User.User@704e0d9e | command: update student set sname='hal' where sno ='888';

[2025-05-16 05:16:55] user: User.User@5562030 | command: use test;

[2025-05-16 05:16:55] user: User.User@5562030 | command: use test;

[2025-05-16 05:16:59] user: User.User@5562030 | command: select * from student;

[2025-05-16 05:17:16] user: User.User@5562030 | command: update student set sname='hl' where sno ='888';

[2025-05-16 05:17:39] user: User.User@5562030 | command: select * from student;

[2025-05-16 05:25:47] user: User.User@5562030 | command: desc student;

[2025-05-16 05:28:34] user: User.User@1bff254 | command: use TEST;

[2025-05-16 05:28:34] user: User.User@1bff254 | command: use TEST;

[2025-05-16 05:28:48] user: User.User@1bff254 | command: select * from student;

[2025-05-16 05:29:10] user: User.User@1bff254 | command: update student set sname='hal' where sno ='888';

[2025-05-16 05:29:27] user: User.User@1bff254 | command: select * from student;

[2025-05-16 05:29:31] user: User.User@1bff254 | command: update student set sname='hl' where sno ='888';

[2025-05-16 05:29:33] user: User.User@1bff254 | command: select * from student;

[2025-05-16 05:30:46] user: User.User@1bff254 | command: use TEST;

[2025-05-16 05:30:46] user: User.User@1bff254 | command: use TEST;

[2025-05-16 05:30:57] user: User.User@1bff254 | command: select * from student;

[2025-05-16 05:31:13] user: User.User@1bff254 | command: update student set sname='hal' where sno ='888';

[2025-05-16 05:32:42] user: User.User@368102c8 | command: show databases;

[2025-05-16 05:33:03] user: User.User@368102c8 | command: create database db;

[2025-05-16 05:33:07] user: User.User@368102c8 | command: show databases;

[2025-05-16 05:33:16] user: User.User@368102c8 | command: drop database db;

[2025-05-16 05:33:23] user: User.User@368102c8 | command: show databases;

[2025-05-16 05:33:42] user: User.User@368102c8 | command: use test;

[2025-05-16 05:35:33] user: User.User@368102c8 | command: use test;

